batch_10_img005	NULL	Không xác định chắc đủ cả 3 mẫu trong cảnh.
batch_10_img006	68,247;215,260;370,205	
batch_10_img007	60,200;240,225;275,70	
batch_10_img008	315,200;180,165;340,50	
batch_10_img009	365,60;250,170;250,80	
batch_10_img011	120,145;330,210;220,190	
batch_10_img012	240,195;420,55;300,60	
batch_10_img013	225,225;315,135;110,205	
batch_10_img014	230,150;110,180;320,70	
batch_10_img016	250,260;165,85;75,210	
batch_10_img017	95,170;410,55;430,275	
batch_10_img018	80,165;430,140;355,270	
batch_10_img020	NULL	Không xác định chắc đủ cả 3 mẫu trong cảnh.
batch_10_img021	NULL	Không xác định chắc icon2 trong cảnh; không đoán.
batch_10_img022	60,95;300,250;115,245	
batch_10_img023	100,130;230,220;95,250	
batch_10_img024	235,135;365,95;375,250	
batch_10_img025	355,175;160,50;145,205	
batch_10_img026	115,250;410,200;215,110	
batch_10_img027	155,55;175,255;365,120	
batch_10_img028	285,200;95,130;315,50	
batch_10_img029	75,75;290,190;175,125	
batch_10_img030	430,65;165,90;220,240	
batch_10_img032	155,260;310,60;420,150	
batch_10_img033	85,125;285,160;330,255	
batch_10_img034	390,200;215,205;85,160	
batch_10_img036	300,80;55,150;370,170	
batch_10_img037	270,130;70,85;105,200	
batch_10_img039	105,185;340,145;195,80	
batch_10_img040	430,105;150,105;355,210	
batch_10_img041	330,65;65,65;95,190	
batch_10_img043	390,100;80,210;365,250	
batch_10_img044	230,120;310,250;350,70	
